id_reclamation,id_compte,objet,description,date_reclamation,statut,canal_reclamation
138,138,Frais injustifies,Frais preleves sans justification sur le compte.,2023-08-26,resolue,Email
139,139,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2019-01-26,encours,Agence
140,140,Retard virement,Virement non recu ou en attente prolongee.,2024-12-01,ouverte,Chatbot
141,141,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2020-03-26,encours,Application mobile
142,142,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2024-01-03,resolue,Application mobile
143,143,Retard virement,Virement non recu ou en attente prolongee.,2022-10-24,fermee,Telephone
144,144,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2024-08-18,ouverte,Agence
145,145,Frais injustifies,Frais preleves sans justification sur le compte.,2022-08-07,ouverte,Email
146,146,Demande remboursement,Requete de remboursement d'une operation.,2021-02-10,resolue,Telephone
147,147,Probleme connexion application,Erreur technique sur l'application mobile.,2015-08-21,fermee,Agence
148,148,Demande remboursement,Requete de remboursement d'une operation.,2023-04-09,resolue,Agence
149,149,Retard virement,Virement non recu ou en attente prolongee.,2023-11-10,fermee,Email
150,150,Probleme connexion application,Erreur technique sur l'application mobile.,2025-02-28,resolue,Agence
151,151,Retard virement,Virement non recu ou en attente prolongee.,2025-04-06,resolue,Email
152,152,Demande remboursement,Requete de remboursement d'une operation.,2019-12-19,encours,Chatbot
153,153,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2019-03-19,resolue,Application mobile
154,154,Retard virement,Virement non recu ou en attente prolongee.,2025-03-06,encours,Chatbot
155,155,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2024-09-26,fermee,Chatbot
156,156,Probleme connexion application,Erreur technique sur l'application mobile.,2021-06-04,ouverte,Application mobile
157,157,Probleme connexion application,Erreur technique sur l'application mobile.,2025-01-04,fermee,Telephone
158,158,Demande remboursement,Requete de remboursement d'une operation.,2025-04-04,resolue,Telephone
159,159,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2024-12-24,ouverte,Agence
160,160,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2024-02-21,resolue,Application mobile
161,161,Probleme connexion application,Erreur technique sur l'application mobile.,2025-03-31,ouverte,Agence
162,162,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2022-09-18,fermee,Chatbot
163,163,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2021-05-06,fermee,Agence
164,164,Frais injustifies,Frais preleves sans justification sur le compte.,2024-06-15,resolue,Email
165,165,Retard virement,Virement non recu ou en attente prolongee.,2020-06-19,fermee,Application mobile
166,166,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2021-04-28,ouverte,Agence
167,167,Retard virement,Virement non recu ou en attente prolongee.,2019-11-03,ouverte,Agence
168,168,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2018-06-03,ouverte,Agence
169,169,Probleme connexion application,Erreur technique sur l'application mobile.,2025-04-19,ouverte,Telephone
170,170,Retard virement,Virement non recu ou en attente prolongee.,2024-10-08,encours,Email
171,171,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2024-12-14,fermee,Agence
172,172,Demande remboursement,Requete de remboursement d'une operation.,2024-12-13,fermee,Email
173,173,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2025-03-23,fermee,Telephone
174,174,Demande remboursement,Requete de remboursement d'une operation.,2017-08-19,resolue,Telephone
175,175,Retard virement,Virement non recu ou en attente prolongee.,2022-07-30,encours,Application mobile
176,176,Probleme connexion application,Erreur technique sur l'application mobile.,2024-08-30,ouverte,Application mobile
177,177,Probleme connexion application,Erreur technique sur l'application mobile.,2022-11-13,encours,Agence
178,178,Probleme connexion application,Erreur technique sur l'application mobile.,2024-04-14,fermee,Chatbot
179,179,Demande remboursement,Requete de remboursement d'une operation.,2025-03-12,resolue,Agence
180,180,Probleme connexion application,Erreur technique sur l'application mobile.,2024-06-13,fermee,Chatbot
181,181,Retard virement,Virement non recu ou en attente prolongee.,2021-06-22,resolue,Application mobile
182,182,Demande remboursement,Requete de remboursement d'une operation.,2020-04-18,resolue,Application mobile
183,183,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2025-03-09,ouverte,Agence
184,184,Frais injustifies,Frais preleves sans justification sur le compte.,2022-08-30,fermee,Agence
185,185,Retard virement,Virement non recu ou en attente prolongee.,2020-12-07,encours,Telephone
186,186,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2024-04-10,encours,Application mobile
187,187,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2023-10-10,fermee,Application mobile
188,188,Frais injustifies,Frais preleves sans justification sur le compte.,2024-12-25,fermee,Agence
189,189,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2025-01-19,encours,Application mobile
190,190,Probleme connexion application,Erreur technique sur l'application mobile.,2017-05-18,resolue,Email
191,191,Demande remboursement,Requete de remboursement d'une operation.,2020-06-05,encours,Email
192,192,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2025-02-21,resolue,Email
193,193,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2024-12-24,encours,Application mobile
194,194,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2023-07-13,ouverte,Application mobile
195,195,Frais injustifies,Frais preleves sans justification sur le compte.,2021-09-24,ouverte,Email
196,196,Frais injustifies,Frais preleves sans justification sur le compte.,2021-11-26,encours,Agence
197,197,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2021-07-05,resolue,Agence
198,198,Probleme connexion application,Erreur technique sur l'application mobile.,2024-09-26,fermee,Chatbot
199,199,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2016-12-03,ouverte,Agence
200,200,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2025-02-05,encours,Email
201,201,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2020-07-25,resolue,Agence
202,202,Retard virement,Virement non recu ou en attente prolongee.,2024-05-09,fermee,Email
203,203,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2024-06-15,resolue,Agence
204,204,Frais injustifies,Frais preleves sans justification sur le compte.,2024-04-20,fermee,Email
205,205,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2023-11-12,fermee,Email
206,206,Frais injustifies,Frais preleves sans justification sur le compte.,2023-04-11,fermee,Agence
207,207,Demande remboursement,Requete de remboursement d'une operation.,2015-07-11,resolue,Application mobile
208,208,Demande remboursement,Requete de remboursement d'une operation.,2025-02-04,ouverte,Email
209,209,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2024-01-04,fermee,Email
210,210,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2016-12-29,ouverte,Agence
211,211,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2025-04-18,encours,Email
212,212,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2023-02-08,fermee,Telephone
213,213,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2020-10-06,encours,Agence
214,214,Demande remboursement,Requete de remboursement d'une operation.,2023-06-06,encours,Email
215,215,Probleme connexion application,Erreur technique sur l'application mobile.,2024-01-13,fermee,Chatbot
216,216,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2022-07-01,encours,Application mobile
217,217,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2020-11-06,fermee,Application mobile
218,218,Probleme connexion application,Erreur technique sur l'application mobile.,2017-03-30,resolue,Agence
219,219,Retard virement,Virement non recu ou en attente prolongee.,2025-02-23,encours,Application mobile
220,220,Retard virement,Virement non recu ou en attente prolongee.,2020-04-14,fermee,Telephone
221,221,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2023-12-10,encours,Agence
222,222,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2022-07-15,resolue,Application mobile
223,223,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2021-06-04,ouverte,Chatbot
224,224,Frais injustifies,Frais preleves sans justification sur le compte.,2021-11-02,fermee,Email
225,225,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2024-06-06,resolue,Agence
226,226,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2020-07-02,resolue,Telephone
227,227,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2019-04-24,ouverte,Chatbot
228,228,Probleme connexion application,Erreur technique sur l'application mobile.,2018-03-20,encours,Telephone
229,229,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2020-12-10,fermee,Chatbot
230,230,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2024-01-05,encours,Agence
231,231,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2022-03-18,ouverte,Email
232,232,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2021-06-04,ouverte,Agence
233,233,Probleme connexion application,Erreur technique sur l'application mobile.,2021-01-12,fermee,Chatbot
234,234,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2024-10-01,fermee,Telephone
235,235,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2023-12-09,encours,Telephone
236,236,Retard virement,Virement non recu ou en attente prolongee.,2021-04-13,fermee,Agence
237,237,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2025-01-25,ouverte,Application mobile
238,238,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2025-03-25,encours,Chatbot
239,239,Demande remboursement,Requete de remboursement d'une operation.,2025-03-12,resolue,Application mobile
240,240,Frais injustifies,Frais preleves sans justification sur le compte.,2025-02-04,fermee,Telephone
241,241,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2025-04-17,encours,Telephone
242,242,Retard virement,Virement non recu ou en attente prolongee.,2018-04-14,fermee,Agence
243,243,Retard virement,Virement non recu ou en attente prolongee.,2025-01-11,fermee,Application mobile
244,244,Probleme connexion application,Erreur technique sur l'application mobile.,2024-06-19,encours,Chatbot
245,245,Frais injustifies,Frais preleves sans justification sur le compte.,2024-07-07,ouverte,Email
246,246,Demande remboursement,Requete de remboursement d'une operation.,2023-12-09,ouverte,Chatbot
247,247,Probleme connexion application,Erreur technique sur l'application mobile.,2018-07-16,resolue,Email
248,248,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2019-05-02,encours,Chatbot
249,249,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2023-12-23,resolue,Email
250,250,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2025-01-24,ouverte,Telephone
251,251,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2020-02-23,encours,Agence
252,252,Retard virement,Virement non recu ou en attente prolongee.,2024-12-31,resolue,Agence
253,253,Probleme connexion application,Erreur technique sur l'application mobile.,2024-09-27,encours,Application mobile
254,254,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2023-02-27,ouverte,Agence
255,255,Demande remboursement,Requete de remboursement d'une operation.,2021-12-17,resolue,Email
256,256,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2020-11-11,ouverte,Email
257,257,Probleme connexion application,Erreur technique sur l'application mobile.,2025-01-11,ouverte,Telephone
258,258,Retard virement,Virement non recu ou en attente prolongee.,2022-08-18,ouverte,Chatbot
259,259,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2022-04-16,ouverte,Agence
260,260,Retard virement,Virement non recu ou en attente prolongee.,2020-08-04,ouverte,Telephone
261,261,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2019-02-01,ouverte,Email
262,262,Demande remboursement,Requete de remboursement d'une operation.,2023-12-16,fermee,Email
263,263,Probleme connexion application,Erreur technique sur l'application mobile.,2024-04-21,encours,Telephone
264,264,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2018-08-10,ouverte,Application mobile
265,265,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2025-04-05,encours,Chatbot
266,266,Retard virement,Virement non recu ou en attente prolongee.,2023-07-31,fermee,Agence
267,267,Probleme connexion application,Erreur technique sur l'application mobile.,2016-03-18,ouverte,Telephone
268,268,Demande remboursement,Requete de remboursement d'une operation.,2024-08-27,ouverte,Agence
269,269,Frais injustifies,Frais preleves sans justification sur le compte.,2024-11-12,resolue,Application mobile
270,270,Probleme connexion application,Erreur technique sur l'application mobile.,2022-04-18,fermee,Chatbot
271,271,Demande remboursement,Requete de remboursement d'une operation.,2023-02-05,fermee,Telephone
272,272,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2025-02-24,ouverte,Application mobile
273,273,Probleme connexion application,Erreur technique sur l'application mobile.,2024-06-23,fermee,Application mobile
274,274,Retard virement,Virement non recu ou en attente prolongee.,2021-03-16,encours,Telephone
275,275,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2021-09-28,fermee,Agence
276,276,Retard virement,Virement non recu ou en attente prolongee.,2024-08-31,resolue,Telephone
277,277,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2023-01-22,fermee,Application mobile
278,278,Demande remboursement,Requete de remboursement d'une operation.,2021-10-06,fermee,Application mobile
279,279,Retard virement,Virement non recu ou en attente prolongee.,2023-08-09,resolue,Chatbot
280,280,Demande remboursement,Requete de remboursement d'une operation.,2019-11-23,encours,Chatbot
281,281,Demande remboursement,Requete de remboursement d'une operation.,2017-10-28,fermee,Application mobile
282,282,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2022-12-05,ouverte,Email
283,283,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2022-02-10,encours,Chatbot
284,284,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2023-03-30,resolue,Agence
285,285,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2025-02-17,ouverte,Chatbot
286,286,Probleme connexion application,Erreur technique sur l'application mobile.,2023-08-08,resolue,Telephone
287,287,Demande remboursement,Requete de remboursement d'une operation.,2023-07-29,resolue,Telephone
288,288,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2022-09-14,encours,Application mobile
289,289,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2022-04-29,encours,Telephone
290,290,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2020-12-15,fermee,Telephone
291,291,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2024-09-29,ouverte,Agence
292,292,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2018-09-09,resolue,Chatbot
293,293,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2024-12-11,resolue,Agence
294,294,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2017-11-10,fermee,Application mobile
295,295,Erreur sur transaction,Montant incorrect ou operation non reconnue.,2023-04-03,encours,Agence
296,296,Frais injustifies,Frais preleves sans justification sur le compte.,2023-03-29,ouverte,Agence
297,297,Demande remboursement,Requete de remboursement d'une operation.,2023-08-15,resolue,Agence
298,298,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2024-09-26,fermee,Telephone
299,299,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2023-02-17,fermee,Agence
300,300,Probleme carte bancaire,Carte avalee ou bloquee lors d'une transaction.,2025-04-08,encours,Agence
301,301,Acces compte bloque,Impossibilite d'acceder a l'espace client.,2024-11-10,ouverte,Telephone
