id_paiement,compte_id,destinataire,montant,date_paiement,type_paiement,frequence,statut,moyen_paiement,description
104,69,ram,9491.58,2024-09-16,don,mensuel,annul,carte,Paiement automatique effectue depuis votre compte.
105,171,caisse de dpt,4636.66,2024-06-07,prlvement fiscal,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
106,92,iam,9265.1,2024-12-18,salaire,bimensuel,suspendu,prlvement,Versement automatique du salaire au beneficiaire.
107,152,maroc telecom,7308.04,2024-10-29,salaire,mensuel,actif,virement,Versement automatique du salaire au beneficiaire.
108,5,cih bank,3072.05,2024-07-05,prlvement fiscal,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
109,57,ministre des finances,8313.54,2024-11-30,don,bimensuel,annul,carte,Paiement automatique effectue depuis votre compte.
110,410,assurance atlanta,3780.47,2025-01-29,prlvement fiscal,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
111,370,marjane,4457.84,2024-12-18,prlvement fiscal,trimestriel,suspendu,carte,Paiement automatique effectue depuis votre compte.
112,478,wafa assurance,9767.05,2024-09-14,don,trimestriel,actif,virement,Paiement automatique effectue depuis votre compte.
113,122,tgr,3450.2,2025-02-28,abonnement,trimestriel,actif,virement,Paiement regulier pour un abonnement.
114,382,ministre de lducation,6325.47,2024-07-31,abonnement,trimestriel,suspendu,prlvement,Paiement regulier pour un abonnement.
115,180,inwi,5988.98,2024-05-15,abonnement,trimestriel,suspendu,carte,Paiement regulier pour un abonnement.
116,355,inwi,4598.86,2024-10-23,don,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
117,55,iam,8189.68,2025-04-19,abonnement,bimensuel,suspendu,prlvement,Paiement regulier pour un abonnement.
118,369,cnss,8086.35,2025-03-16,loyer,mensuel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
119,417,cih bank,718.86,2025-02-06,salaire,mensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
120,342,inwi,3711.91,2024-09-21,abonnement,bimensuel,actif,carte,Paiement regulier pour un abonnement.
121,427,tgr,6356.59,2025-01-01,loyer,bimensuel,actif,carte,Paiement mensuel du loyer effectue automatiquement.
122,220,tgr,3159.35,2024-12-20,abonnement,trimestriel,suspendu,prlvement,Paiement regulier pour un abonnement.
123,244,onee,4630.34,2025-01-30,loyer,mensuel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
124,453,caisse de dpt,2235.94,2025-01-04,prlvement fiscal,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
125,468,lydec,9148.43,2024-08-30,salaire,trimestriel,actif,carte,Versement automatique du salaire au beneficiaire.
126,222,iam,7243.69,2024-10-19,don,mensuel,annul,carte,Paiement automatique effectue depuis votre compte.
127,403,assurance atlanta,2071.16,2024-04-22,abonnement,mensuel,suspendu,virement,Paiement regulier pour un abonnement.
128,393,wafa assurance,101.95,2024-10-25,prlvement fiscal,trimestriel,actif,prlvement,Paiement automatique effectue depuis votre compte.
129,216,ministre de lducation,5381.98,2024-10-12,don,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
130,342,total maroc,4773.95,2024-12-07,salaire,mensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
131,204,ministre de lducation,4453.42,2024-08-02,abonnement,mensuel,annul,prlvement,Paiement regulier pour un abonnement.
132,226,axa maroc,9453.98,2024-12-02,loyer,bimensuel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
133,304,cih bank,6872.27,2024-05-28,abonnement,trimestriel,annul,carte,Paiement regulier pour un abonnement.
134,495,axa maroc,4018.26,2024-06-26,salaire,trimestriel,suspendu,carte,Versement automatique du salaire au beneficiaire.
135,41,universit hassan ii,2927.78,2024-04-21,prlvement fiscal,mensuel,actif,virement,Paiement automatique effectue depuis votre compte.
136,393,onee,962.79,2024-05-10,don,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
137,163,afriquia,9646.69,2024-07-03,abonnement,bimensuel,annul,virement,Paiement regulier pour un abonnement.
138,51,ram,508.75,2024-06-10,loyer,trimestriel,actif,carte,Paiement mensuel du loyer effectue automatiquement.
139,128,iam,2385.87,2024-09-10,salaire,trimestriel,actif,prlvement,Versement automatique du salaire au beneficiaire.
140,167,iam,1531.68,2025-04-01,loyer,bimensuel,suspendu,carte,Paiement mensuel du loyer effectue automatiquement.
141,48,inwi,6982.99,2024-11-05,loyer,bimensuel,annul,virement,Paiement mensuel du loyer effectue automatiquement.
142,410,caisse de dpt,5204.05,2024-12-30,don,mensuel,annul,prlvement,Paiement automatique effectue depuis votre compte.
143,149,ram,2962.39,2024-09-15,salaire,bimensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
144,16,maroc telecom,4695.64,2024-09-14,salaire,bimensuel,annul,carte,Versement automatique du salaire au beneficiaire.
145,378,cnss,4741.89,2024-07-05,salaire,mensuel,annul,carte,Versement automatique du salaire au beneficiaire.
146,461,universit hassan ii,8236.11,2024-10-25,salaire,mensuel,annul,virement,Versement automatique du salaire au beneficiaire.
147,50,universit mohammed v,2520.41,2024-05-03,abonnement,bimensuel,actif,virement,Paiement regulier pour un abonnement.
148,362,universit hassan ii,2048.84,2024-06-28,salaire,bimensuel,annul,carte,Versement automatique du salaire au beneficiaire.
149,238,total maroc,5105.9,2024-05-21,don,bimensuel,actif,carte,Paiement automatique effectue depuis votre compte.
150,30,iam,8290.17,2024-09-28,salaire,mensuel,suspendu,prlvement,Versement automatique du salaire au beneficiaire.
151,196,universit hassan ii,4324.89,2025-02-13,don,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
152,183,maroc telecom,5204.5,2024-11-26,salaire,trimestriel,actif,carte,Versement automatique du salaire au beneficiaire.
153,42,lydec,4266.53,2025-01-25,prlvement fiscal,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
154,441,axa maroc,2170.93,2024-11-08,don,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
155,444,cih bank,6520.24,2024-10-23,salaire,mensuel,actif,prlvement,Versement automatique du salaire au beneficiaire.
156,140,maroc telecom,6776.28,2024-05-01,salaire,mensuel,annul,carte,Versement automatique du salaire au beneficiaire.
157,267,afriquia,5196.49,2024-11-25,abonnement,bimensuel,annul,carte,Paiement regulier pour un abonnement.
158,26,maroc telecom,152.92,2024-05-16,loyer,trimestriel,annul,prlvement,Paiement mensuel du loyer effectue automatiquement.
159,80,maroc telecom,9026.58,2025-04-07,don,mensuel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
160,111,ram,8885.13,2024-06-18,loyer,trimestriel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
161,347,tgr,6350.91,2025-04-06,abonnement,bimensuel,actif,prlvement,Paiement regulier pour un abonnement.
162,49,ram,5964.9,2025-01-19,abonnement,trimestriel,actif,prlvement,Paiement regulier pour un abonnement.
163,274,cnss,8764.96,2024-10-07,abonnement,mensuel,suspendu,carte,Paiement regulier pour un abonnement.
164,2,cih bank,8491.86,2024-09-30,loyer,bimensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
165,234,universit hassan ii,7470.23,2025-01-17,loyer,trimestriel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
166,221,total maroc,4451.41,2024-10-17,salaire,trimestriel,actif,virement,Versement automatique du salaire au beneficiaire.
167,211,wafa assurance,3131.51,2024-06-02,loyer,bimensuel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
168,266,caisse de dpt,2325.97,2025-04-15,prlvement fiscal,mensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
169,173,axa maroc,896.21,2025-04-21,don,mensuel,actif,virement,Paiement automatique effectue depuis votre compte.
170,43,caisse de dpt,7700.76,2024-10-22,don,bimensuel,annul,virement,Paiement automatique effectue depuis votre compte.
171,60,la marocaine vie,3328.94,2024-07-14,don,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
172,402,marjane,3492.6,2024-11-21,abonnement,bimensuel,suspendu,prlvement,Paiement regulier pour un abonnement.
173,190,onee,1018.99,2024-06-12,prlvement fiscal,mensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
174,386,universit hassan ii,6297.81,2024-07-13,salaire,mensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
175,306,cih bank,4612.04,2024-07-09,don,mensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
176,274,total maroc,2023.5,2024-10-20,abonnement,trimestriel,actif,prlvement,Paiement regulier pour un abonnement.
177,484,inwi,2944.52,2024-12-11,abonnement,bimensuel,actif,virement,Paiement regulier pour un abonnement.
178,104,afriquia,4082.29,2024-10-28,don,bimensuel,annul,carte,Paiement automatique effectue depuis votre compte.
179,433,oncf,9615.92,2024-05-28,don,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
180,331,axa maroc,3028.16,2024-07-12,salaire,bimensuel,annul,carte,Versement automatique du salaire au beneficiaire.
181,276,wafa assurance,1237.51,2025-03-25,don,mensuel,annul,prlvement,Paiement automatique effectue depuis votre compte.
182,338,iam,1146.75,2024-04-30,abonnement,bimensuel,suspendu,prlvement,Paiement regulier pour un abonnement.
183,279,cnss,9588.19,2025-02-18,salaire,mensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
184,112,ministre des finances,744.73,2025-04-13,loyer,mensuel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
185,195,marjane,633.48,2025-02-24,don,bimensuel,annul,carte,Paiement automatique effectue depuis votre compte.
186,318,tgr,9205.58,2024-06-21,abonnement,trimestriel,suspendu,carte,Paiement regulier pour un abonnement.
187,151,cnss,8857.4,2024-12-22,loyer,mensuel,suspendu,virement,Paiement mensuel du loyer effectue automatiquement.
188,85,carrefour maroc,7468.23,2024-10-25,prlvement fiscal,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
189,135,onee,352.56,2024-05-18,salaire,bimensuel,actif,prlvement,Versement automatique du salaire au beneficiaire.
190,374,axa maroc,9776.96,2025-01-04,prlvement fiscal,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
191,188,universit hassan ii,7667.89,2024-09-05,loyer,bimensuel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
192,26,la marocaine vie,8930.47,2024-05-25,abonnement,mensuel,suspendu,carte,Paiement regulier pour un abonnement.
193,438,ministre de lducation,4921.23,2024-07-14,salaire,bimensuel,actif,virement,Versement automatique du salaire au beneficiaire.
194,442,axa maroc,8970.33,2025-03-26,prlvement fiscal,bimensuel,actif,prlvement,Paiement automatique effectue depuis votre compte.
195,241,cih bank,7518.53,2025-04-08,loyer,trimestriel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
196,29,maroc telecom,2256.57,2024-07-14,salaire,mensuel,annul,prlvement,Versement automatique du salaire au beneficiaire.
197,126,carrefour maroc,7396.91,2024-06-16,prlvement fiscal,mensuel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
198,351,cih bank,9203.14,2024-10-05,don,mensuel,annul,prlvement,Paiement automatique effectue depuis votre compte.
199,472,wafa assurance,8173.8,2024-12-04,loyer,mensuel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
200,6,universit hassan ii,4034.08,2024-05-06,salaire,bimensuel,annul,carte,Versement automatique du salaire au beneficiaire.
201,50,ram,9327.74,2024-05-26,don,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
202,367,oncf,6259.7,2024-11-17,prlvement fiscal,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
203,180,ram,6294.68,2024-10-27,don,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
204,239,total maroc,5851.65,2025-04-13,loyer,mensuel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
205,45,banque populaire,9182.08,2024-12-20,prlvement fiscal,bimensuel,suspendu,virement,Paiement automatique effectue depuis votre compte.
206,332,caisse de dpt,636.19,2024-07-04,don,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
207,410,la marocaine vie,6422.31,2025-02-18,prlvement fiscal,bimensuel,actif,virement,Paiement automatique effectue depuis votre compte.
208,276,oncf,9631.16,2024-10-01,abonnement,mensuel,suspendu,prlvement,Paiement regulier pour un abonnement.
209,265,universit mohammed v,3985.57,2024-07-25,don,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
210,293,ram,3086.54,2024-10-31,loyer,mensuel,actif,virement,Paiement mensuel du loyer effectue automatiquement.
211,483,universit mohammed v,9399.26,2024-09-13,salaire,mensuel,annul,virement,Versement automatique du salaire au beneficiaire.
212,26,carrefour maroc,9167.04,2025-03-08,salaire,mensuel,actif,carte,Versement automatique du salaire au beneficiaire.
213,387,iam,489.43,2024-06-29,don,bimensuel,suspendu,virement,Paiement automatique effectue depuis votre compte.
214,413,la marocaine vie,2238.42,2024-10-25,abonnement,trimestriel,suspendu,prlvement,Paiement regulier pour un abonnement.
215,192,cnss,4428.7,2025-02-13,abonnement,trimestriel,annul,prlvement,Paiement regulier pour un abonnement.
216,214,total maroc,799.49,2024-08-14,loyer,trimestriel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
217,349,tgr,1729.41,2024-06-22,prlvement fiscal,bimensuel,actif,carte,Paiement automatique effectue depuis votre compte.
218,396,carrefour maroc,2139.48,2024-05-09,don,trimestriel,suspendu,carte,Paiement automatique effectue depuis votre compte.
219,36,wafa assurance,6978.06,2024-11-16,prlvement fiscal,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
220,193,wafa assurance,1223.99,2025-02-02,abonnement,bimensuel,suspendu,prlvement,Paiement regulier pour un abonnement.
221,165,universit mohammed v,7531.12,2024-09-23,salaire,trimestriel,actif,virement,Versement automatique du salaire au beneficiaire.
222,177,axa maroc,2054.05,2024-05-09,prlvement fiscal,trimestriel,actif,prlvement,Paiement automatique effectue depuis votre compte.
223,451,afriquia,5628.88,2024-05-05,prlvement fiscal,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
224,126,onee,1864.7,2024-06-29,loyer,mensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
225,296,lydec,3186.94,2024-05-30,loyer,mensuel,suspendu,virement,Paiement mensuel du loyer effectue automatiquement.
226,347,banque populaire,416.92,2024-12-18,don,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
227,453,la marocaine vie,8002.37,2024-06-03,abonnement,mensuel,actif,virement,Paiement regulier pour un abonnement.
228,154,oncf,1576.13,2025-04-11,loyer,bimensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
229,64,ram,5766.21,2024-06-18,don,bimensuel,actif,virement,Paiement automatique effectue depuis votre compte.
230,389,cnss,7858.28,2025-01-11,don,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
231,373,afriquia,7303.01,2024-08-15,prlvement fiscal,mensuel,actif,virement,Paiement automatique effectue depuis votre compte.
232,418,cih bank,5000.62,2025-03-07,don,bimensuel,annul,virement,Paiement automatique effectue depuis votre compte.
233,42,total maroc,3472.46,2024-05-21,loyer,bimensuel,suspendu,virement,Paiement mensuel du loyer effectue automatiquement.
234,375,cnss,6870.18,2024-09-24,don,mensuel,actif,virement,Paiement automatique effectue depuis votre compte.
235,74,assurance atlanta,6905.53,2024-12-26,salaire,trimestriel,suspendu,virement,Versement automatique du salaire au beneficiaire.
236,319,universit hassan ii,7021.05,2024-08-09,salaire,mensuel,annul,carte,Versement automatique du salaire au beneficiaire.
237,201,iam,4866.09,2024-08-04,salaire,bimensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
238,218,carrefour maroc,9267.57,2024-12-28,prlvement fiscal,trimestriel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
