id_transaction,id_compte,montant,type_transaction,canal,devise,date_transaction,statut,description
44,44,46123.21,retrait,applicationmobile,eur,2023-12-06,validee,Retrait d'especes depuis un distributeur ou au guichet.
45,45,40223.93,retrait,applicationmobile,usd,2025-04-02,refusee,Retrait d'especes depuis un distributeur ou au guichet.
46,46,18882.38,frais,applicationmobile,mad,2025-02-08,refusee,Operation bancaire realisee sur le compte.
47,47,38306.77,paiement,enligne,usd,2021-03-07,enattente,Paiement effectue par carte ou moyen numerique.
48,48,24846.79,frais,enligne,eur,2019-01-31,enattente,Operation bancaire realisee sur le compte.
49,49,31736.7,versement,enligne,usd,2024-07-08,refusee,Depot d'argent liquide sur un compte bancaire.
50,50,15833.45,versement,applicationmobile,mad,2025-02-25,enattente,Depot d'argent liquide sur un compte bancaire.
51,51,46064.88,virement,applicationmobile,mad,2025-01-26,validee,Transfert de fonds entre comptes bancaires.
52,52,45603.31,frais,enligne,mad,2023-01-07,enattente,Operation bancaire realisee sur le compte.
53,53,4036.87,virement,applicationmobile,usd,2024-03-30,validee,Transfert de fonds entre comptes bancaires.
54,54,7096.58,frais,enligne,mad,2024-03-26,refusee,Operation bancaire realisee sur le compte.
55,55,18450.58,versement,enligne,usd,2019-11-24,enattente,Depot d'argent liquide sur un compte bancaire.
56,56,5860.11,paiement,distributeur,mad,2024-06-17,validee,Paiement effectue par carte ou moyen numerique.
57,57,7590.22,paiement,applicationmobile,usd,2025-03-09,refusee,Paiement effectue par carte ou moyen numerique.
58,58,29082.47,versement,distributeur,mad,2021-09-28,enattente,Depot d'argent liquide sur un compte bancaire.
59,59,33422.07,versement,distributeur,mad,2025-04-05,refusee,Depot d'argent liquide sur un compte bancaire.
60,60,36138.77,versement,guichet,eur,2025-04-03,enattente,Depot d'argent liquide sur un compte bancaire.
61,61,3809.13,paiement,virementauto,usd,2023-03-05,validee,Paiement effectue par carte ou moyen numerique.
62,62,32318.89,frais,applicationmobile,mad,2018-07-03,validee,Operation bancaire realisee sur le compte.
63,63,10246.09,retrait,enligne,usd,2023-11-16,refusee,Retrait d'especes depuis un distributeur ou au guichet.
64,64,38016.55,retrait,guichet,eur,2017-11-29,refusee,Retrait d'especes depuis un distributeur ou au guichet.
65,65,26726.29,versement,enligne,mad,2019-04-16,refusee,Depot d'argent liquide sur un compte bancaire.
66,66,4194.56,versement,guichet,mad,2019-01-27,validee,Depot d'argent liquide sur un compte bancaire.
67,67,18611.94,paiement,virementauto,usd,2024-08-29,validee,Paiement effectue par carte ou moyen numerique.
68,68,35564.33,frais,enligne,eur,2020-03-23,refusee,Operation bancaire realisee sur le compte.
69,69,20863.65,virement,distributeur,eur,2022-12-29,validee,Transfert de fonds entre comptes bancaires.
70,70,5208.02,frais,guichet,usd,2023-08-03,enattente,Operation bancaire realisee sur le compte.
71,71,13114.57,frais,guichet,eur,2025-04-04,enattente,Operation bancaire realisee sur le compte.
72,72,49441.2,versement,guichet,mad,2021-10-11,enattente,Depot d'argent liquide sur un compte bancaire.
73,73,8891.29,frais,distributeur,eur,2018-07-07,refusee,Operation bancaire realisee sur le compte.
74,74,26225.63,versement,applicationmobile,usd,2024-12-11,enattente,Depot d'argent liquide sur un compte bancaire.
75,75,38799.16,virement,distributeur,eur,2022-08-03,enattente,Transfert de fonds entre comptes bancaires.
76,76,37449.23,retrait,virementauto,eur,2024-01-15,refusee,Retrait d'especes depuis un distributeur ou au guichet.
77,77,6473.77,paiement,enligne,mad,2024-12-19,refusee,Paiement effectue par carte ou moyen numerique.
78,78,7054.06,virement,enligne,mad,2024-08-06,validee,Transfert de fonds entre comptes bancaires.
79,79,9673.46,retrait,applicationmobile,usd,2024-11-09,validee,Retrait d'especes depuis un distributeur ou au guichet.
80,80,2283.15,versement,virementauto,eur,2022-04-16,refusee,Depot d'argent liquide sur un compte bancaire.
81,81,10855.74,retrait,applicationmobile,usd,2019-07-08,enattente,Retrait d'especes depuis un distributeur ou au guichet.
82,82,46883.67,frais,guichet,mad,2020-09-22,enattente,Operation bancaire realisee sur le compte.
83,83,43136.42,virement,enligne,eur,2021-08-18,refusee,Transfert de fonds entre comptes bancaires.
84,84,30474.42,frais,applicationmobile,usd,2024-12-08,refusee,Operation bancaire realisee sur le compte.
85,85,26347.03,versement,virementauto,usd,2021-07-22,validee,Depot d'argent liquide sur un compte bancaire.
86,86,5553.57,frais,guichet,mad,2024-11-09,validee,Operation bancaire realisee sur le compte.
87,87,43760.42,virement,distributeur,mad,2021-11-30,refusee,Transfert de fonds entre comptes bancaires.
88,88,34412.56,versement,guichet,mad,2024-06-03,validee,Depot d'argent liquide sur un compte bancaire.
89,89,17398.3,versement,enligne,usd,2021-06-22,enattente,Depot d'argent liquide sur un compte bancaire.
90,90,9677.66,virement,enligne,mad,2020-03-24,validee,Transfert de fonds entre comptes bancaires.
91,91,16095.06,retrait,applicationmobile,mad,2022-07-01,enattente,Retrait d'especes depuis un distributeur ou au guichet.
92,92,12221.15,frais,enligne,usd,2020-12-21,refusee,Operation bancaire realisee sur le compte.
93,93,105.53,paiement,virementauto,usd,2023-07-08,validee,Paiement effectue par carte ou moyen numerique.
94,94,46245.99,frais,enligne,usd,2022-09-17,refusee,Operation bancaire realisee sur le compte.
95,95,38367.65,retrait,guichet,eur,2023-11-05,enattente,Retrait d'especes depuis un distributeur ou au guichet.
96,96,26703.75,virement,enligne,eur,2025-03-11,enattente,Transfert de fonds entre comptes bancaires.
97,97,46678.78,versement,enligne,usd,2017-10-05,validee,Depot d'argent liquide sur un compte bancaire.
98,98,44101.89,frais,virementauto,eur,2023-11-18,refusee,Operation bancaire realisee sur le compte.
99,99,39482.29,versement,enligne,eur,2022-07-04,enattente,Depot d'argent liquide sur un compte bancaire.
100,100,45007.41,retrait,virementauto,eur,2025-03-23,refusee,Retrait d'especes depuis un distributeur ou au guichet.
101,101,5711.1,frais,distributeur,mad,2022-12-01,enattente,Operation bancaire realisee sur le compte.
102,102,22749.24,versement,distributeur,usd,2024-07-27,enattente,Depot d'argent liquide sur un compte bancaire.
103,103,48256.96,retrait,guichet,mad,2020-03-31,validee,Retrait d'especes depuis un distributeur ou au guichet.
104,104,7761.08,frais,enligne,mad,2024-10-03,validee,Operation bancaire realisee sur le compte.
105,105,35847.64,versement,guichet,usd,2024-04-16,refusee,Depot d'argent liquide sur un compte bancaire.
106,106,42458.94,versement,applicationmobile,mad,2024-04-14,enattente,Depot d'argent liquide sur un compte bancaire.
107,107,36861.28,retrait,virementauto,eur,2023-08-31,enattente,Retrait d'especes depuis un distributeur ou au guichet.
108,108,35415.27,retrait,distributeur,eur,2023-12-23,enattente,Retrait d'especes depuis un distributeur ou au guichet.
109,109,19288.28,retrait,distributeur,usd,2023-05-01,refusee,Retrait d'especes depuis un distributeur ou au guichet.
110,110,18518.0,frais,enligne,mad,2024-10-17,refusee,Operation bancaire realisee sur le compte.
111,111,44943.71,frais,virementauto,mad,2023-09-08,refusee,Operation bancaire realisee sur le compte.
112,112,40662.8,versement,guichet,usd,2022-12-25,validee,Depot d'argent liquide sur un compte bancaire.
113,113,23359.77,virement,distributeur,mad,2017-03-23,enattente,Transfert de fonds entre comptes bancaires.
114,114,45911.86,retrait,applicationmobile,usd,2017-11-14,enattente,Retrait d'especes depuis un distributeur ou au guichet.
115,115,28981.97,frais,enligne,usd,2024-06-30,refusee,Operation bancaire realisee sur le compte.
116,116,14952.44,virement,enligne,usd,2024-09-05,refusee,Transfert de fonds entre comptes bancaires.
117,117,841.65,versement,distributeur,eur,2021-05-29,enattente,Depot d'argent liquide sur un compte bancaire.
118,118,34799.6,virement,virementauto,eur,2023-09-23,validee,Transfert de fonds entre comptes bancaires.
119,119,30585.66,paiement,virementauto,mad,2024-12-18,validee,Paiement effectue par carte ou moyen numerique.
120,120,16190.4,versement,applicationmobile,usd,2025-02-27,refusee,Depot d'argent liquide sur un compte bancaire.
121,121,29662.9,versement,applicationmobile,eur,2023-06-04,validee,Depot d'argent liquide sur un compte bancaire.
122,122,30121.18,virement,guichet,eur,2023-10-22,refusee,Transfert de fonds entre comptes bancaires.
123,123,14900.1,versement,virementauto,usd,2021-02-10,validee,Depot d'argent liquide sur un compte bancaire.
124,124,22258.14,virement,enligne,usd,2020-06-11,enattente,Transfert de fonds entre comptes bancaires.
125,125,21158.34,paiement,guichet,eur,2024-06-16,refusee,Paiement effectue par carte ou moyen numerique.
126,126,30940.61,virement,guichet,usd,2024-05-15,validee,Transfert de fonds entre comptes bancaires.
127,127,27666.76,frais,distributeur,eur,2025-01-10,refusee,Operation bancaire realisee sur le compte.
128,128,33988.99,paiement,virementauto,eur,2017-12-02,refusee,Paiement effectue par carte ou moyen numerique.
129,129,30894.17,frais,applicationmobile,eur,2021-09-01,enattente,Operation bancaire realisee sur le compte.
130,130,3772.65,frais,enligne,usd,2024-11-22,refusee,Operation bancaire realisee sur le compte.
131,131,42350.52,retrait,distributeur,eur,2024-08-22,validee,Retrait d'especes depuis un distributeur ou au guichet.
132,132,14455.87,virement,virementauto,usd,2023-12-13,enattente,Transfert de fonds entre comptes bancaires.
133,133,10320.83,frais,virementauto,usd,2018-12-23,validee,Operation bancaire realisee sur le compte.
134,134,49862.1,paiement,virementauto,usd,2023-12-01,validee,Paiement effectue par carte ou moyen numerique.
135,135,13268.4,paiement,guichet,usd,2024-02-23,validee,Paiement effectue par carte ou moyen numerique.
136,136,33147.44,frais,distributeur,mad,2021-05-05,enattente,Operation bancaire realisee sur le compte.
137,137,48242.98,retrait,guichet,mad,2024-06-01,enattente,Retrait d'especes depuis un distributeur ou au guichet.
138,138,6985.65,virement,guichet,eur,2023-10-14,enattente,Transfert de fonds entre comptes bancaires.
139,139,14501.0,frais,guichet,mad,2019-03-09,refusee,Operation bancaire realisee sur le compte.
140,140,8965.28,frais,applicationmobile,eur,2025-03-06,refusee,Operation bancaire realisee sur le compte.
141,141,5227.69,versement,guichet,usd,2024-01-28,refusee,Depot d'argent liquide sur un compte bancaire.
142,142,28660.99,versement,guichet,eur,2024-08-23,enattente,Depot d'argent liquide sur un compte bancaire.
143,143,15263.01,frais,virementauto,mad,2024-02-19,refusee,Operation bancaire realisee sur le compte.
144,144,29754.27,virement,applicationmobile,usd,2024-10-13,validee,Transfert de fonds entre comptes bancaires.
145,145,27671.08,virement,enligne,mad,2024-09-25,validee,Transfert de fonds entre comptes bancaires.
146,146,46273.46,virement,applicationmobile,mad,2019-05-27,validee,Transfert de fonds entre comptes bancaires.
147,147,41.59,retrait,applicationmobile,usd,2017-06-29,enattente,Retrait d'especes depuis un distributeur ou au guichet.
148,148,37991.02,virement,guichet,usd,2023-10-15,refusee,Transfert de fonds entre comptes bancaires.
149,149,17800.99,versement,guichet,eur,2023-07-01,enattente,Depot d'argent liquide sur un compte bancaire.
150,150,14646.26,frais,applicationmobile,usd,2025-04-11,validee,Operation bancaire realisee sur le compte.
151,151,41275.15,frais,applicationmobile,eur,2024-06-30,enattente,Operation bancaire realisee sur le compte.
152,152,28478.42,frais,distributeur,usd,2018-10-26,validee,Operation bancaire realisee sur le compte.
153,153,32684.85,frais,distributeur,mad,2019-12-25,enattente,Operation bancaire realisee sur le compte.
154,154,43910.56,retrait,guichet,mad,2025-03-18,refusee,Retrait d'especes depuis un distributeur ou au guichet.
155,155,37508.51,virement,applicationmobile,usd,2025-01-08,validee,Transfert de fonds entre comptes bancaires.
156,156,2389.8,paiement,applicationmobile,eur,2023-01-01,enattente,Paiement effectue par carte ou moyen numerique.
157,157,6585.02,frais,guichet,eur,2019-07-12,enattente,Operation bancaire realisee sur le compte.
158,158,13720.19,paiement,distributeur,usd,2024-05-17,enattente,Paiement effectue par carte ou moyen numerique.
159,159,40926.83,paiement,enligne,eur,2024-05-10,validee,Paiement effectue par carte ou moyen numerique.
160,160,18897.71,versement,guichet,eur,2016-12-08,enattente,Depot d'argent liquide sur un compte bancaire.
161,161,30567.98,virement,distributeur,mad,2022-07-19,enattente,Transfert de fonds entre comptes bancaires.
162,162,46622.62,versement,enligne,mad,2024-11-10,validee,Depot d'argent liquide sur un compte bancaire.
163,163,30453.33,paiement,enligne,mad,2016-08-20,refusee,Paiement effectue par carte ou moyen numerique.
164,164,32379.34,paiement,distributeur,mad,2020-10-01,enattente,Paiement effectue par carte ou moyen numerique.
165,165,24950.21,virement,distributeur,eur,2017-05-20,refusee,Transfert de fonds entre comptes bancaires.
166,166,14435.8,paiement,applicationmobile,usd,2022-01-29,validee,Paiement effectue par carte ou moyen numerique.
167,167,30043.11,paiement,enligne,mad,2018-11-16,validee,Paiement effectue par carte ou moyen numerique.
168,168,26723.53,paiement,guichet,eur,2023-09-24,validee,Paiement effectue par carte ou moyen numerique.
169,169,48472.76,paiement,applicationmobile,usd,2025-04-18,enattente,Paiement effectue par carte ou moyen numerique.
170,170,10915.89,versement,virementauto,mad,2024-09-17,validee,Depot d'argent liquide sur un compte bancaire.
171,171,37053.71,virement,enligne,usd,2023-09-21,validee,Transfert de fonds entre comptes bancaires.
172,172,47325.78,retrait,distributeur,mad,2023-04-20,refusee,Retrait d'especes depuis un distributeur ou au guichet.
173,173,7167.89,virement,distributeur,mad,2025-02-05,enattente,Transfert de fonds entre comptes bancaires.
174,174,38622.32,frais,virementauto,usd,2018-05-26,validee,Operation bancaire realisee sur le compte.
175,175,30878.1,frais,applicationmobile,usd,2024-04-29,refusee,Operation bancaire realisee sur le compte.
176,176,16068.23,paiement,enligne,mad,2021-09-08,refusee,Paiement effectue par carte ou moyen numerique.
177,177,33432.98,versement,applicationmobile,mad,2018-03-14,refusee,Depot d'argent liquide sur un compte bancaire.
178,178,42962.27,retrait,distributeur,mad,2024-05-07,refusee,Retrait d'especes depuis un distributeur ou au guichet.
179,179,16391.31,paiement,virementauto,mad,2025-03-30,enattente,Paiement effectue par carte ou moyen numerique.
180,180,3337.34,paiement,guichet,usd,2017-06-15,refusee,Paiement effectue par carte ou moyen numerique.
181,181,2367.71,paiement,virementauto,mad,2021-04-09,enattente,Paiement effectue par carte ou moyen numerique.
182,182,22417.36,paiement,applicationmobile,eur,2022-02-04,validee,Paiement effectue par carte ou moyen numerique.
183,183,38236.64,versement,applicationmobile,mad,2023-05-19,enattente,Depot d'argent liquide sur un compte bancaire.
184,184,21923.64,frais,applicationmobile,mad,2020-08-30,enattente,Operation bancaire realisee sur le compte.
185,185,5962.93,frais,applicationmobile,usd,2022-05-24,refusee,Operation bancaire realisee sur le compte.
186,186,22978.52,paiement,applicationmobile,usd,2024-10-09,validee,Paiement effectue par carte ou moyen numerique.
187,187,1841.98,versement,distributeur,usd,2024-09-23,refusee,Depot d'argent liquide sur un compte bancaire.
188,188,1523.96,versement,guichet,usd,2024-08-28,validee,Depot d'argent liquide sur un compte bancaire.
189,189,21070.05,retrait,enligne,mad,2025-01-21,refusee,Retrait d'especes depuis un distributeur ou au guichet.
190,190,26063.07,frais,enligne,eur,2022-11-24,validee,Operation bancaire realisee sur le compte.
191,191,25653.86,frais,virementauto,mad,2021-11-18,refusee,Operation bancaire realisee sur le compte.
192,192,3425.19,versement,distributeur,usd,2019-06-16,enattente,Depot d'argent liquide sur un compte bancaire.
193,193,9823.0,paiement,virementauto,eur,2025-02-16,validee,Paiement effectue par carte ou moyen numerique.
194,194,15805.33,retrait,applicationmobile,mad,2023-10-22,validee,Retrait d'especes depuis un distributeur ou au guichet.
195,195,22264.07,paiement,distributeur,eur,2020-02-29,refusee,Paiement effectue par carte ou moyen numerique.
196,196,10643.22,paiement,enligne,eur,2021-04-23,refusee,Paiement effectue par carte ou moyen numerique.
197,197,2509.63,frais,virementauto,mad,2019-10-19,enattente,Operation bancaire realisee sur le compte.
198,198,21248.54,virement,enligne,eur,2024-09-05,enattente,Transfert de fonds entre comptes bancaires.
199,199,43469.13,virement,guichet,usd,2019-11-21,enattente,Transfert de fonds entre comptes bancaires.
200,200,22140.23,virement,enligne,usd,2025-03-21,enattente,Transfert de fonds entre comptes bancaires.
201,201,29446.63,retrait,applicationmobile,mad,2023-06-20,validee,Retrait d'especes depuis un distributeur ou au guichet.
202,202,40683.5,versement,virementauto,usd,2023-07-28,refusee,Depot d'argent liquide sur un compte bancaire.
203,203,12855.06,virement,distributeur,eur,2024-03-07,enattente,Transfert de fonds entre comptes bancaires.
204,204,2642.39,frais,virementauto,usd,2022-10-09,validee,Operation bancaire realisee sur le compte.
205,205,34477.79,retrait,guichet,usd,2023-03-13,refusee,Retrait d'especes depuis un distributeur ou au guichet.
206,206,27709.64,virement,enligne,usd,2023-02-13,validee,Transfert de fonds entre comptes bancaires.
207,207,26569.27,versement,applicationmobile,mad,2024-04-12,validee,Depot d'argent liquide sur un compte bancaire.
208,208,35216.54,frais,virementauto,eur,2024-10-09,refusee,Operation bancaire realisee sur le compte.
209,209,26108.14,paiement,enligne,usd,2022-03-25,enattente,Paiement effectue par carte ou moyen numerique.
210,210,19499.22,frais,virementauto,eur,2018-07-19,refusee,Operation bancaire realisee sur le compte.
211,211,37556.62,frais,distributeur,usd,2025-03-28,enattente,Operation bancaire realisee sur le compte.
212,212,21907.64,frais,applicationmobile,eur,2019-12-05,enattente,Operation bancaire realisee sur le compte.
213,213,31759.12,frais,applicationmobile,usd,2020-01-08,validee,Operation bancaire realisee sur le compte.
214,214,47272.94,retrait,virementauto,mad,2024-04-13,validee,Retrait d'especes depuis un distributeur ou au guichet.
215,215,7181.53,virement,virementauto,eur,2019-05-22,refusee,Transfert de fonds entre comptes bancaires.
216,216,26945.27,retrait,enligne,eur,2019-10-16,refusee,Retrait d'especes depuis un distributeur ou au guichet.
217,217,27026.99,frais,distributeur,mad,2025-01-13,enattente,Operation bancaire realisee sur le compte.
218,218,729.29,paiement,virementauto,usd,2021-04-23,enattente,Paiement effectue par carte ou moyen numerique.
219,219,45796.05,paiement,applicationmobile,mad,2025-02-15,enattente,Paiement effectue par carte ou moyen numerique.
220,220,39742.3,versement,distributeur,eur,2018-07-06,validee,Depot d'argent liquide sur un compte bancaire.
221,221,26158.38,virement,virementauto,mad,2019-03-03,validee,Transfert de fonds entre comptes bancaires.
222,222,9119.44,versement,guichet,mad,2022-12-29,refusee,Depot d'argent liquide sur un compte bancaire.
223,223,25143.85,virement,virementauto,mad,2024-12-01,validee,Transfert de fonds entre comptes bancaires.
224,224,28910.33,frais,distributeur,usd,2021-07-02,validee,Operation bancaire realisee sur le compte.
225,225,13762.36,paiement,virementauto,mad,2022-09-16,validee,Paiement effectue par carte ou moyen numerique.
226,226,36897.05,frais,virementauto,usd,2019-09-05,validee,Operation bancaire realisee sur le compte.
227,227,41671.39,virement,distributeur,usd,2021-08-21,validee,Transfert de fonds entre comptes bancaires.
228,228,18526.62,versement,virementauto,eur,2018-05-09,enattente,Depot d'argent liquide sur un compte bancaire.
229,229,29264.2,versement,applicationmobile,mad,2019-09-13,refusee,Depot d'argent liquide sur un compte bancaire.
230,230,41454.66,paiement,virementauto,usd,2025-02-23,validee,Paiement effectue par carte ou moyen numerique.
231,231,37729.66,virement,guichet,usd,2021-02-05,enattente,Transfert de fonds entre comptes bancaires.
232,232,9765.99,virement,guichet,usd,2021-01-01,refusee,Transfert de fonds entre comptes bancaires.
233,233,6085.68,frais,enligne,usd,2021-01-14,validee,Operation bancaire realisee sur le compte.
234,234,531.66,frais,enligne,usd,2023-07-18,enattente,Operation bancaire realisee sur le compte.
235,235,15375.61,paiement,applicationmobile,mad,2016-12-29,validee,Paiement effectue par carte ou moyen numerique.
236,236,36178.11,retrait,virementauto,mad,2020-07-22,refusee,Retrait d'especes depuis un distributeur ou au guichet.
237,237,26560.63,frais,guichet,usd,2024-02-07,refusee,Operation bancaire realisee sur le compte.
238,238,6159.62,paiement,applicationmobile,mad,2025-04-13,validee,Paiement effectue par carte ou moyen numerique.
239,239,14973.85,virement,enligne,eur,2017-02-21,validee,Transfert de fonds entre comptes bancaires.
240,240,45289.79,frais,distributeur,mad,2023-10-23,enattente,Operation bancaire realisee sur le compte.
241,241,37878.72,versement,distributeur,mad,2025-04-13,validee,Depot d'argent liquide sur un compte bancaire.
242,242,34513.45,frais,virementauto,eur,2016-11-02,refusee,Operation bancaire realisee sur le compte.
243,243,12274.85,paiement,enligne,usd,2024-04-05,validee,Paiement effectue par carte ou moyen numerique.
244,244,35218.68,paiement,virementauto,eur,2025-03-14,enattente,Paiement effectue par carte ou moyen numerique.
245,245,4526.48,paiement,distributeur,usd,2024-08-08,validee,Paiement effectue par carte ou moyen numerique.
246,246,4306.55,paiement,distributeur,eur,2023-02-06,validee,Paiement effectue par carte ou moyen numerique.
247,247,29243.31,frais,enligne,eur,2020-08-31,enattente,Operation bancaire realisee sur le compte.
248,248,39494.8,retrait,guichet,eur,2022-04-20,enattente,Retrait d'especes depuis un distributeur ou au guichet.
249,249,12312.51,frais,guichet,usd,2024-06-20,validee,Operation bancaire realisee sur le compte.
250,250,41917.57,versement,distributeur,eur,2024-06-13,validee,Depot d'argent liquide sur un compte bancaire.
251,251,22852.22,versement,virementauto,usd,2022-07-07,enattente,Depot d'argent liquide sur un compte bancaire.
252,252,49838.46,virement,distributeur,mad,2023-12-01,enattente,Transfert de fonds entre comptes bancaires.
253,253,45706.49,paiement,enligne,usd,2024-03-04,validee,Paiement effectue par carte ou moyen numerique.
254,254,18891.77,paiement,applicationmobile,mad,2020-11-28,refusee,Paiement effectue par carte ou moyen numerique.
255,255,34151.05,retrait,guichet,mad,2023-10-31,refusee,Retrait d'especes depuis un distributeur ou au guichet.
256,256,49958.81,virement,applicationmobile,usd,2021-05-05,validee,Transfert de fonds entre comptes bancaires.
257,257,16744.76,paiement,distributeur,eur,2024-12-23,validee,Paiement effectue par carte ou moyen numerique.
258,258,48765.89,retrait,guichet,mad,2022-04-25,refusee,Retrait d'especes depuis un distributeur ou au guichet.
259,259,28015.22,retrait,enligne,eur,2023-08-02,validee,Retrait d'especes depuis un distributeur ou au guichet.
260,260,423.55,versement,distributeur,eur,2021-05-23,validee,Depot d'argent liquide sur un compte bancaire.
261,261,21116.81,frais,guichet,eur,2021-03-17,refusee,Operation bancaire realisee sur le compte.
262,262,12965.56,paiement,distributeur,mad,2024-10-27,refusee,Paiement effectue par carte ou moyen numerique.
263,263,37751.34,versement,virementauto,eur,2022-01-09,validee,Depot d'argent liquide sur un compte bancaire.
264,264,46328.98,frais,distributeur,usd,2019-07-07,validee,Operation bancaire realisee sur le compte.
265,265,20925.27,virement,applicationmobile,usd,2025-02-08,refusee,Transfert de fonds entre comptes bancaires.
266,266,43014.75,retrait,virementauto,mad,2023-09-18,validee,Retrait d'especes depuis un distributeur ou au guichet.
267,267,25287.76,paiement,virementauto,usd,2020-11-07,enattente,Paiement effectue par carte ou moyen numerique.
268,268,38265.39,paiement,applicationmobile,mad,2023-04-01,refusee,Paiement effectue par carte ou moyen numerique.
269,269,11864.1,paiement,virementauto,usd,2024-03-08,enattente,Paiement effectue par carte ou moyen numerique.
270,270,6797.88,virement,guichet,eur,2021-09-09,enattente,Transfert de fonds entre comptes bancaires.
271,271,44414.42,retrait,distributeur,usd,2025-04-19,refusee,Retrait d'especes depuis un distributeur ou au guichet.
272,272,49256.11,retrait,distributeur,eur,2024-06-17,refusee,Retrait d'especes depuis un distributeur ou au guichet.
273,273,38285.67,retrait,enligne,eur,2024-07-29,validee,Retrait d'especes depuis un distributeur ou au guichet.
